SNR,F1 score y_hat,F1 score y
-5,0.038431373,0
0,0.045238095,0.202222222
5,0,0.09
10,0.33968254,0.203174603
15,0.795079365,0.137698413
20,0.146349206,0.14047619
25,0.315826331,0.149444444
30,0.183467643,0.175
35,0.182718159,0.159848485
40,0.141904762,0.175
45,0.147142857,0.178030303
50,0.175,0.181666667
-10,0.05,0
-5,0.038888889,0.061904762
0,0.125714286,0.143571429
5,0.291688312,0.134126984
10,0.022222222,0.307857143
15,0.068571429,0.158547009
20,0.545238095,0.210714286
25,0.373593074,0.167857143
30,0.173333333,0.169047619
35,0.093571429,0.167857143
40,0.167857143,0.167857143
45,0.374047619,0.167857143
50,0.175238095,0.175238095
-10,0.025,0
-5,0,0.075
0,0.04,0.378571429
5,0.016666667,0.188809524
10,0.266702742,0.143162393
15,0.285976246,0.168571429
20,0.341587302,0.175324675
25,0.254761905,0.213419913
30,0.028571429,0.156349206
35,0.1,0.182864358
40,0.80979798,0.163419913
45,0.408455433,0.182864358
50,0.188419913,0.188419913
-10,0,0
-5,0.028571429,0.106666667
0,0.061904762,0.157142857
5,0.097142857,0.237777778
10,0.122222222,0.154935065
15,0.404292929,0.159340659
20,0.399487179,0.106666667
25,0.158181818,0.124340659
30,0.26047619,0.133333333
35,0.247070707,0.147435897
40,0.130769231,0.132857143
45,0.384166667,0.223015873
50,0.126324786,0.166515152
-10,0,0
-5,0,0
0,0.085,0.178571429
5,0.108241758,0.203030303
10,0.051515152,0.283181818
15,0.269194139,0.222527473
20,0.088419913,0.206899767
25,0.028571429,0.15508658
30,0.427460317,0.151666667
35,0.273181818,0.253571429
40,0.251666667,0.251666667
45,0.439603175,0.251666667
50,0.395044955,0.251666667
-10,0.05,0
-5,0,0
0,0.062626263,0.092673993
5,0.080952381,0.289848485
10,0.25017316,0.134545455
15,0.088571429,0.190793651
20,0.036363636,0.093975469
25,0.094545455,0.137546898
30,0.18025974,0.135238095
35,0.34,0.148975469
40,0.04040404,0.148975469
45,0.223296703,0.148975469
50,0.161904762,0.156666667
-10,0.034285714,0
-5,0,0.124444444
0,0.073015873,0.141587302
5,0.127777778,0.218354978
10,0.19,0.187713675
15,0.685079365,0.123333333
20,0.204912281,0.117777778
25,0.205333333,0.099603175
30,0.158333333,0.103571429
35,0.165959596,0.099365079
40,0.281944444,0.099365079
45,0.103571429,0.099365079
50,0.103571429,0.099365079
-10,0,0
-5,0.036862745,0.016666667
0,0.363758649,0.156862745
5,0.173333333,0.147477884
10,0.607698413,0.178333333
15,0.178055556,0.191428571
20,0.848892774,0.227460317
25,0.078571429,0.203896104
30,0.374404762,0.244761905
35,0.376825397,0.247142857
40,0.22961039,0.22961039
45,0.208571429,0.208571429
50,0.159103641,0.208571429
-10,0,0
-5,0,0.033333333
0,0.183658009,0.326666667
5,0.025,0.208015873
10,0.386507937,0.178571429
15,0.022222222,0.101190476
20,0.209441669,0.115
25,0.622222222,0.119545455
30,0,0.131391941
35,0.116666667,0.135238095
40,0.237698413,0.135238095
45,0.111904762,0.136753247
50,0.136753247,0.136753247
-10,0,0
-5,0,0.133333333
0,0,0.14
5,0.251416361,0.151904762
10,0.087222222,0.222395382
15,0.209365079,0.258253968
20,0.13,0.175238095
25,0.216733822,0.232460317
30,0.2,0.269935065
35,0.011764706,0.217157287
40,0.219935065,0.219935065
45,0.253321123,0.219935065
50,0.196363636,0.217157287
-10,0,0
-5,0,0.025
0,0.168888889,0.193030303
5,0.065,0.225
10,0.103475936,0.104102564
15,0.016666667,0.1
20,0.64547619,0.083333333
25,0.117289377,0.160150376
30,0.369285714,0.1
35,0.073333333,0.098245614
40,0.111578947,0.133483709
45,0.100698158,0.126817043
50,0.145238095,0.093483709
-10,0,0
-5,0.053571429,0.016666667
0,0.04,0.086666667
5,0.043956044,0.170769231
10,0.033333333,0.153181818
15,0,0.259047619
20,0.128571429,0.234292929
25,0.05,0.254292929
30,0.11540404,0.254292929
35,0.79452381,0.252474747
40,0.252777778,0.256111111
45,0.250959596,0.252474747
50,0.166919192,0.252474747
-10,0,0
-5,0.015384615,0.04
0,0.234920635,0.14
5,0.331060606,0.418809524
10,0.163888889,0.217243867
15,0.673697969,0.284920635
20,0.097222222,0.169365079
25,0.085079365,0.220555556
30,0.102222222,0.178888889
35,0.58025641,0.202698413
40,0.15969697,0.202698413
45,0.088888889,0.178888889
50,0.315728716,0.178888889
-10,0,0
-5,0,0.066666667
0,0.04,0.173506494
5,0.046753247,0.075793651
10,0.079545455,0.251616162
15,0,0.233116883
20,0.124545455,0.161904762
25,0.114285714,0.230598291
30,0.090538873,0.223333333
35,0.111515152,0.216666667
40,0.230769231,0.230769231
45,0.230769231,0.230769231
50,0.254141414,0.230769231
-10,0,0
-5,0.028571429,0.116666667
0,0.02,0.11
5,0.146349206,0.196666667
10,0.205324675,0.151515152
15,0.788931069,0.178030303
20,0.155910756,0.113419913
25,0.066666667,0.091666667
30,0.105238095,0.091666667
35,0.560436508,0.108333333
40,0,0.111904762
45,0.111904762,0.111904762
50,0.111904762,0.111904762
-10,0,0
-5,0.022222222,0.04
0,0.055555556,0.07
5,0.068571429,0.165
10,0.02,0.290238095
15,0.013333333,0.175555556
20,0.240952381,0.125555556
25,0.351031746,0.151753247
30,0.413939394,0.1395116
35,0.147070707,0.184749695
40,0.061363636,0.184749695
45,0.187527473,0.166098901
50,0.240909091,0.166098901
-10,0.068571429,0
-5,0.02,0.066666667
0,0.178419913,0.164141414
5,0.337777778,0.223015873
10,0.144444444,0.267777778
15,0.143571429,0.232142857
20,0.409087302,0.204365079
25,0.17968254,0.158333333
30,0.158333333,0.158333333
35,0.104365079,0.158333333
40,0.158333333,0.158333333
45,0.105,0.158333333
50,0.158333333,0.158333333
-10,0,0
-5,0.033333333,0
0,0.177777778,0.095238095
5,0.053571429,0.271666667
10,0.142777778,0.170808081
15,0.206246677,0.195808081
20,0.088571429,0.159444444
25,0.149444444,0.194545455
30,0.539145299,0.147142857
35,0.178333333,0.145808081
40,0.622637363,0.147222222
45,0.181391941,0.145808081
50,0.172435897,0.173333333
-10,0.05,0.025
-5,0.073015873,0.044444444
0,0.044444444,0.180555556
5,0.126666667,0.130808081
10,0.396031746,0.186666667
15,0.095238095,0.181515152
20,0.076363636,0.206349206
25,0.323734599,0.212142857
30,0.25,0.177777778
35,0.242380952,0.180793651
40,0.107142857,0.214126984
45,0.180793651,0.180793651
50,0.221839827,0.180793651
-10,0,0
-5,0.156666667,0.196666667
0,0.12,0.236904762
5,0.234991087,0.235238095
10,0.053333333,0.16952381
15,0.185751634,0.173333333
20,0.600952381,0.173585859
25,0.261904762,0.194285714
30,0.277777778,0.180793651
35,0.241298701,0.203015873
40,0.203015873,0.203015873
45,0.173630422,0.203015873
50,0.336212121,0.203015873
-10,0,0
-5,0.066666667,0.09047619
0,0.223174603,0.086363636
5,0.391464646,0.172222222
10,0.180386411,0.08
15,0.057142857,0.08
20,0.094642857,0.079166667
25,0.086753247,0.080952381
30,0.098181818,0.094285714
35,0,0.08
40,0.08,0.08
45,0.080952381,0.080952381
50,0.501111111,0.080952381
-10,0.028571429,0
-5,0,0.04
0,0.062222222,0.181991342
5,0.153030303,0.126007326
10,0.181515152,0.167070707
15,0.11969697,0.194281046
20,0.158865579,0.158571429
25,0.04,0.155
30,0.09,0.167222222
35,0.156363636,0.155
40,0.155,0.181767677
45,0.155,0.155
50,0.181767677,0.181767677
-10,0.071753247,0
-5,0.018181818,0.258571429
0,0.115438596,0.140598291
5,0.126363636,0.155
10,0.162222222,0.16
15,0.056666667,0.135
20,0.53047619,0.093506494
25,0.223333333,0.19
30,0.19,0.171601732
35,0.165238095,0.178268398
40,0.168571429,0.168571429
45,0.175238095,0.175238095
50,0.128571429,0.188058608
-10,0.028571429,0.04
-5,0,0
0,0.075959596,0.088888889
5,0.062222222,0.177460317
10,0.042222222,0.270238095
15,0.193717949,0.148333333
20,0.028571429,0.203181818
25,0.606904762,0.222864358
30,0.133333333,0.216601732
35,0.106666667,0.207222222
40,0.21,0.21
45,0.205238095,0.22468254
50,0.153571429,0.229444444
-10,0,0
-5,0.110714286,0.028571429
0,0.014285714,0.183333333
5,0.12,0.284920635
10,0.028571429,0.23
15,0.197606838,0.236666667
20,0.28047619,0.26047619
25,0.188333333,0.197142857
30,0.26047619,0.27047619
35,0.053571429,0.27047619
40,0.229285714,0.27047619
45,0.246666667,0.27047619
50,0.27047619,0.27047619
-10,0.047619048,0
-5,0.053571429,0
0,0.187402597,0.188888889
5,0.438253968,0.203809524
10,0.315238095,0.198571429
15,0.758095238,0.197936508
20,0.025,0.187157287
25,0.504206349,0.205714286
30,0.038181818,0.188809524
35,0.1,0.192380952
40,0.192380952,0.208571429
45,0.347936508,0.192380952
50,0.218888889,0.192380952
-10,0.022222222,0
-5,0.028571429,0.075
0,0.02,0.075
5,0,0.180793651
10,0.260966811,0.192777778
15,0.06,0.211666667
20,0.063181818,0.139427239
25,0.126666667,0.198506494
30,0.047222222,0.219047619
35,0.49228022,0.203492063
40,0.096428571,0.196825397
45,0.205689866,0.172356532
50,0.084126984,0.200927961
-10,0,0
-5,0,0
0,0.02,0.104365079
5,0.12297619,0.176363636
10,0.103333333,0.137142857
15,0.011764706,0.134659197
20,0.141904762,0.151904762
25,0.227741148,0.16968254
30,0.113888889,0.157633478
35,0.355,0.157698413
40,0.159920635,0.159920635
45,0.157698413,0.157698413
50,0.385947712,0.157698413
-10,0,0
-5,0,0.09047619
0,0.096507937,0.142460317
5,0.038181818,0.12
10,0.028571429,0.208333333
15,0.028571429,0.145238095
20,0.231666667,0.147792208
25,0.223434343,0.163347763
30,0.270238095,0.170238095
35,0.123809524,0.170238095
40,0.170238095,0.170238095
45,0.170238095,0.170238095
50,0.236904762,0.170238095
-10,0,0
-5,0.028571429,0.033333333
0,0.172727273,0.107142857
5,0.028571429,0.255238095
10,0.128571429,0.274920635
15,0.082142857,0.318571429
20,0.053333333,0.278571429
25,0.163333333,0.278571429
30,0.075,0.278571429
35,0.293205128,0.278571429
40,0.153571429,0.278571429
45,0.278571429,0.278571429
50,0.307142857,0.278571429
-10,0.11547619,0.033333333
-5,0.02,0.04
0,0.224126984,0.303809524
5,0.033333333,0.380555556
10,0.025,0.17
15,0.070222222,0.222121212
20,0.158823529,0.281190476
25,0.050793651,0.201618357
30,0.412296919,0.253015873
35,0.022222222,0.238015873
40,0.297967564,0.280552105
45,0.238015873,0.278015873
50,0.238015873,0.238015873
-10,0.02,0
-5,0.061764706,0
0,0.106349206,0.087058824
5,0.073529412,0.273333333
10,0.095833333,0.139102564
15,0.084848485,0.164935065
20,0.069078947,0.110855811
25,0.368730159,0.193333333
